Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;Date de création;Date dernière MAJ;geo_shape;geo_point_2d
CP001755;;75008;9;3;Foncière Raynouard;REHABILITATION_IMMEUBLE;Réhabilitation Immeuble de bureaux;9 rue d'Argenson;;2020-10-27;2021-12-31;RESTREINTE;BUS renvoyés en circulation générale. Maintien de 3,50m de circulation.;2;2;;2020-10-06;2020-10-20;"{""type"": ""Polygon"", ""coordinates"": [[[2.31670767766075, 48.874775047256456], [2.316778618087344, 48.87481209667106], [2.316874197676436, 48.87473078694602], [2.316810521848759, 48.874689972140715], [2.316708398851701, 48.87477505137311], [2.31670767766075, 48.874775047256456]]]}";48.8747519782,2.31679239815
CP002162;457217;75002;11;2;Climespace;ENTRETIEN_RESEAU;;bd Poissonnière;entre les rues St Fiacre et du Sentier.;2021-11-02;2021-12-17;RESTREINTE;Maintien d'une file de circulation par sens.;2;2;;2021-10-11;2021-10-11;"{""type"": ""Polygon"", ""coordinates"": [[[2.346631022695239, 48.87074645240654], [2.345982715733459, 48.87085564321337], [2.346076720905095, 48.87114603839912], [2.346765716490203, 48.871037068255696], [2.346631022695239, 48.87074645240654]]]}";48.8709474802,2.34636582378
CP001732;;75004;11;1;Affaires culturelles;REHABILITATION_IMMEUBLE;;rue des archives;du n°22 au n°26;2020-11-02;2022-02-02;RESTREINTE;Maintien d'une file  de circulation;2;2;;2020-09-03;2020-09-03;"{""type"": ""Polygon"", ""coordinates"": [[[2.354993175248282, 48.858176077945615], [2.355067376364266, 48.8581538718199], [2.355010845017086, 48.85805957609765], [2.354938027205364, 48.85796995100735], [2.354909033281176, 48.857981692208895], [2.354872781444695, 48.85799696379475], [2.354842205378564, 48.85799084975331], [2.354820466588365, 48.857999061428174], [2.354807432495538, 48.85803230396878], [2.354931918409666, 48.85817217823224], [2.354993175248282, 48.858176077945615]]]}";48.8580775148,2.35493640658
CP002005;;75010;11;2;Enedis;ENTRETIEN_RESEAU;Renouvellement du réseau.;Rue de la Grange aux Belles;entre la place du Colonel Fabien et la rue Vicq d'Azir.;2021-08-16;2021-09-22;SENS_UNIQUE;depuis la place du Colonel Fabien jusqu'à la rue Vicq d'Azir.;1;3;;2021-06-01;2021-10-15;"{""type"": ""Polygon"", ""coordinates"": [[[2.36992509117947, 48.87767235614384], [2.370042394814589, 48.87758606289556], [2.369969096099133, 48.87756009834206], [2.369670363695037, 48.87726459419459], [2.369572861802336, 48.87731518535195], [2.36992509117947, 48.87767235614384]]]}";48.8774686754,2.36980150277
CP001741;350656;75020;10;2;RATP;TRAVAUX_OUVRAGE;Aménagement de la sortie de la station Pyrénées.;389-401 rue des Pyrénées;entre les rues de Belleville et de la Mare;2020-09-21;2021-10-19;RESTREINTE;Maintien d'une file par sens.;2;2;;2020-09-21;2021-09-16;"{""type"": ""Polygon"", ""coordinates"": [[[2.387550404515506, 48.87381481298314], [2.387547160939511, 48.873783863795396], [2.38537260434688, 48.87388336408119], [2.385449890125758, 48.873906365648196], [2.387550404515506, 48.87381481298314]]]}";48.8738457336,2.38650860388
CP002100;;75004;11;2;EDP;CREATION_RESEAUX;remplacement de canalisation;rue de Rivoli;du n°32 au n°34;2021-08-30;2022-04-29;RESTREINTE;neutralisation de la coronapiste, ouverture à la circulation générale.;1;2;;2021-07-15;2021-07-15;"{""type"": ""Polygon"", ""coordinates"": [[[2.357055213869297, 48.8561671189479], [2.356749067543028, 48.85625404980015], [2.356784846233512, 48.85632134450341], [2.357433876493112, 48.85613694356754], [2.357304118229659, 48.856104037348786], [2.357055213869297, 48.8561671189479]]]}";48.8562055842,2.35706276893
CP001872;215168;75010;11;3;SNCF;REHABILITATION_IMMEUBLE;Aire de déchargement;rue La Fayette;du 168 au 174;2021-03-15;2023-12-29;RESTREINTE;neutralisation d'une voie de circulation;2;2;;2021-02-22;2021-02-22;"{""type"": ""Polygon"", ""coordinates"": [[[2.35895287211234, 48.879756493159775], [2.3589676960747052, 48.87978322333163], [2.359676840200636, 48.87996976253706], [2.359709142625614, 48.87992472501219], [2.358962567558234, 48.87973084667135], [2.35895287211234, 48.879756493159775]]]}";48.8798518765,2.35932886261
CP002161;483164;75010;11;2;CPCU;ENTRETIEN_RESEAU;Réparation de fuite.;199 rue La Fayette;;2021-10-22;2021-11-26;RESTREINTE;Neutralisation de la voie bus.;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/NE04 INFO RIVE.pdf;2021-10-11;2021-10-11;"{""type"": ""Polygon"", ""coordinates"": [[[2.363120955673701, 48.88097321877045], [2.36311598049849, 48.880937499681096], [2.362905580387697, 48.8808840319943], [2.362887163185636, 48.88091486735417], [2.363120955673701, 48.88097321877045]]]}";48.8809275602,2.36300682954
CP002140;;75015;13;1;Mission Vélo;REAMENAGEMENT_VOIRIE;Aménagement Piste cyclable;Place du Moulin de Javel;Carrefour Place du Moulin de Javel/ Rue Louis Blanc/Quai André Citroen;2021-09-20;2021-11-10;RESTREINTE;"Travaux par phases. Maintien de 2 voies de circulation autour de l'anneau.
Du 28/09 au 22/10, Barrage de rue Le Blanc angle Place du Moulin de Javel.";2;2;;2021-09-02;2021-10-21;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[2.27139978757978, 48.84017255515391], [2.27143477576851, 48.840378109359186], [2.27207608315799, 48.84027687244452], [2.271985928917681, 48.84013137825432], [2.272089823007935, 48.8400675902571], [2.27216621054346, 48.84003404618918], [2.272144963591717, 48.84000350552883], [2.271734507416791, 48.84008153265558], [2.27139978757978, 48.84017255515391]]], [[[2.27143477576851, 48.840378109359186], [2.271432164869802, 48.84037852155856], [2.271434848804175, 48.84037853790525], [2.27143477576851, 48.840378109359186]]]]}";48.8402026603,2.27174891818
CP001507;;75008;9;3;DIOR;REHABILITATION_IMMEUBLE;;avenue Montaigne, rue François 1er;du n°30 au n°32, n°15;2019-09-03;2021-11-30;RESTREINTE;Modification des files de circulation, fermeture de la contre allée lors des livraisons et du 05/07 au 30/11 pour la dépose de l'échafaudage entre 7h et 19h.;2;2;;2019-09-20;2021-06-14;"{""type"": ""Polygon"", ""coordinates"": [[[2.306634984499521, 48.86672905934554], [2.30663316528535, 48.86673023864299], [2.306453342938334, 48.86682675705592], [2.306384818521744, 48.8668263599567], [2.306040857370859, 48.866654230263336], [2.305896671045372, 48.866783078259694], [2.3063498416049, 48.86701532954379], [2.306715404125792, 48.86678425408853], [2.306634984499521, 48.86672905934554]]]}";48.8668338609,2.30627568274
